SAMPLE OF RETRACTION INFORMATION - 02/15/2022
----------------------------------------------------
experiment_id,number_of_retractions,overflow_status
1pctCO2,2481,no_overflow
1pctCO2-bgc,344,no_overflow
1pctCO2-cdr,631,no_overflow
1pctCO2-rad,339,no_overflow
1pctCO2Ndep,11,no_overflow
1pctCO2Ndep-bgc,11,no_overflow
1pctCO2to4x-withism,1,no_overflow
G1,151,no_overflow
G6solar,835,no_overflow
G6sulfur,743,no_overflow
G7cirrus,111,no_overflow
a4SST,1,no_overflow
a4SSTice,1,no_overflow
abrupt-0p5xCO2,44,no_overflow
abrupt-2xCO2,49,no_overflow
abrupt-4xCO2,4809,no_overflow
abrupt-solm4p,37,no_overflow
abrupt-solp4p,46,no_overflow
amip,2791,no_overflow
amip-4xCO2,26,no_overflow
amip-a4SST-4xCO2,133,no_overflow
amip-future4K,5,no_overflow
amip-hist,474,no_overflow
amip-lfmip-pObs,451,no_overflow
amip-lfmip-pdLC,472,no_overflow
amip-lfmip-rmLC,670,no_overflow
amip-lwoff,3,no_overflow
amip-m4K,29,no_overflow
amip-p4K,147,no_overflow
amip-p4K-lwoff,3,no_overflow
amip-piForcing,10,no_overflow
aqua-4xCO2,5,no_overflow
aqua-control,4,no_overflow
aqua-control-lwoff,3,no_overflow
aqua-p4K,192,no_overflow
aqua-p4K-lwoff,4,no_overflow
control-1950,246,no_overflow
dcppA-assim,10,no_overflow
dcppA-hindcast,11540,{"r10i1p1f1": 16| "r10i1p2f1": 57| "r10i2p1f1": 1508| "r1i1p1f1": 556| "r1i1p2f1": 57| "r2i1p1f1": 551| "r2i1p2f1": 57| "r3i1p1f1": 560| "r3i1p2f1": 57| "r4i1p1f1": 1100| "r4i1p2f1": 57| "r5i1p1f1": 552| "r5i1p2f1": 57| "r6i1p1f1": 20| "r6i1p2f1": 57| "r6i2p1f1": 1508| "r7i1p1f1": 16| "r7i1p2f1": 57| "r7i2p1f1": 1508| "r8i1p1f1": 44| "r8i1p2f1": 57| "r8i2p1f1": 1508| "r9i1p1f1": 15| "r9i1p2f1": 57| "r9i2p1f1": 1508}
dcppB-forecast,260,no_overflow
dcppC-amv-ExTrop-neg,25,no_overflow
dcppC-amv-ExTrop-pos,25,no_overflow
dcppC-amv-Trop-neg,25,no_overflow
dcppC-amv-Trop-pos,25,no_overflow
dcppC-amv-neg,50,no_overflow
dcppC-amv-pos,49,no_overflow
dcppC-atl-control,25,no_overflow
dcppC-atl-pacemaker,710,no_overflow
dcppC-forecast-addAgung,10,no_overflow
dcppC-forecast-addElChichon,10,no_overflow
dcppC-forecast-addPinatubo,10,no_overflow
dcppC-hindcast-noAgung,10,no_overflow
dcppC-hindcast-noElChichon,10,no_overflow
dcppC-hindcast-noPinatubo,10,no_overflow
dcppC-ipv-NexTrop-neg,10,no_overflow
dcppC-ipv-NexTrop-pos,10,no_overflow
dcppC-ipv-neg,10,no_overflow
dcppC-ipv-pos,10,no_overflow
dcppC-pac-control,10,no_overflow
dcppC-pac-pacemaker,710,no_overflow
deforest-globe,275,no_overflow
esm-1pct-brch-1000PgC,113,no_overflow
esm-1pct-brch-2000PgC,89,no_overflow
